Date Time, Water Level, Sigma, I, L 
2024-01-01 00:00,-0.100,0.037,0,0
2024-01-01 01:00,0.101,0.043,0,0
2024-01-01 02:00,0.273,0.038,0,0
2024-01-01 03:00,0.382,0.044,0,0
2024-01-01 04:00,0.396,0.041,0,0
2024-01-01 05:00,0.332,0.042,0,0
2024-01-01 06:00,0.216,0.042,0,0
2024-01-01 07:00,0.044,0.037,0,0
2024-01-01 08:00,-0.134,0.038,0,0
2024-01-01 09:00,-0.210,0.049,0,0
2024-01-01 10:00,-0.192,0.040,0,0
2024-01-01 11:00,-0.102,0.040,0,0
2024-01-01 12:00,0.023,0.044,0,0
2024-01-01 13:00,0.196,0.044,0,0
2024-01-01 14:00,0.390,0.053,0,0
2024-01-01 15:00,0.539,0.058,0,0
2024-01-01 16:00,0.565,0.058,0,0
2024-01-01 17:00,0.485,0.060,0,0
2024-01-01 18:00,0.340,0.047,0,0
2024-01-01 19:00,0.159,0.049,0,0
2024-01-01 20:00,0.001,0.036,0,0
2024-01-01 21:00,-0.169,0.047,0,0
2024-01-01 22:00,-0.207,0.044,0,0
2024-01-01 23:00,-0.172,0.064,0,0
2024-01-02 00:00,-0.055,0.082,0,0
2024-01-02 01:00,0.097,0.110,0,0
2024-01-02 02:00,0.298,0.097,0,0
2024-01-02 03:00,0.490,0.104,0,0
2024-01-02 04:00,0.602,0.084,0,0
2024-01-02 05:00,0.621,0.096,0,0
2024-01-02 06:00,0.558,0.079,0,0
2024-01-02 07:00,0.392,0.068,0,0
2024-01-02 08:00,0.261,0.071,0,0
2024-01-02 09:00,0.105,0.087,0,0
2024-01-02 10:00,0.089,0.089,0,0
2024-01-02 11:00,0.146,0.099,0,0
2024-01-02 12:00,0.272,0.216,0,0
2024-01-02 13:00,0.425,0.267,0,0
2024-01-02 14:00,0.563,0.264,0,0
2024-01-02 15:00,0.763,0.240,0,0
2024-01-02 16:00,0.814,0.201,0,0
2024-01-02 17:00,0.805,0.201,0,0
2024-01-02 18:00,0.721,0.210,0,0
2024-01-02 19:00,0.618,0.216,0,0
2024-01-02 20:00,0.391,0.206,0,0
2024-01-02 21:00,0.198,0.187,0,0
2024-01-02 22:00,0.114,0.147,0,0
2024-01-02 23:00,0.032,0.148,0,0
2024-01-03 00:00,0.065,0.205,0,0
2024-01-03 01:00,0.134,0.148,0,0
2024-01-03 02:00,0.263,0.102,0,0
2024-01-03 03:00,0.433,0.106,0,0
2024-01-03 04:00,0.607,0.117,0,0
2024-01-03 05:00,0.652,0.159,0,0
2024-01-03 06:00,0.608,0.144,0,0
2024-01-03 07:00,0.535,0.143,0,0
2024-01-03 08:00,0.345,0.160,0,0
2024-01-03 09:00,0.170,0.145,0,0
2024-01-03 10:00,-0.004,0.115,0,0
2024-01-03 11:00,-0.043,0.192,0,0
2024-01-03 12:00,0.018,0.171,0,0
2024-01-03 13:00,0.083,0.158,0,0
2024-01-03 14:00,0.204,0.114,0,0
2024-01-03 15:00,0.374,0.097,0,0
2024-01-03 16:00,0.482,0.116,0,0
